strategy,vectorizer,model,use_features,f1_score,accuracy,train_time,predict_time
Indicateurs + TF-IDF,tfidf,logreg,True,0.8271981099501122,0.8257183231276496,35.28588795661926,0.7114264965057373
TF-IDF seul,tfidf,logreg,False,0.8244196835502272,0.8224799811587377,22.46765685081482,1.3459482192993164
Indicateurs + CountVectorizer,count,logreg,True,0.8218223057371565,0.8195949128591615,29.325878858566284,0.7355716228485107
Indicateurs + CountVectorizer,count,svm,True,0.8184017626815232,0.8190061234102685,5.961215257644653,0.7161190509796143
CountVectorizer seul,count,logreg,False,0.8176122120633468,0.8140602920395666,27.97201442718506,1.3638365268707275
TF-IDF seul,tfidf,svm,False,0.8102207058319872,0.8140602920395666,5.818904638290405,0.6836080551147461
CountVectorizer seul,count,svm,False,0.804850354645948,0.8039331135186057,6.65212345123291,1.3503086566925049
Indicateurs + TF-IDF,tfidf,svm,True,0.680560143035911,0.6887658973151202,6.207618713378906,0.724480152130127
Indicateurs seuls,None,logreg,True,0.2926694214386137,0.3408502119642016,4.092803001403809,0.012377023696899414
Indicateurs seuls,None,svm,True,0.2169029362080689,0.2720796043334903,0.22132325172424316,0.0026819705963134766
